codigo,contrast,mean_0_26_32
SUJETO_0000621,con_0001,2.03588495845717
SUJETO_0005719,con_0001,0.900511649944554
SUJETO_0006562,con_0001,2.67425568801601
SUJETO_0012643,con_0001,0.64719991205351
SUJETO_0014011,con_0001,0.878315558028597
SUJETO_0014895,con_0001,-1.97634254674601
SUJETO_0016883,con_0001,0.573357586304473
SUJETO_0020285,con_0001,0.427231362543818
SUJETO_0020703,con_0001,1.63938499950781
SUJETO_0020974,con_0001,0.762565071732412
SUJETO_0025948,con_0001,-0.474282178361484
SUJETO_0026622,con_0001,1.24738244791761
SUJETO_0027033,con_0001,-0.407220779349781
SUJETO_0027510,con_0001,0.0483829927464145
SUJETO_0028207,con_0001,3.33805107404061
SUJETO_0030383,con_0001,3.20039347710648
SUJETO_0030459,con_0001,0.959862606584784
SUJETO_0031826,con_0001,0.425102629736672
SUJETO_0032413,con_0001,0.663075065391698
SUJETO_0033050,con_0001,-0.212005099221095
SUJETO_0034539,con_0001,0.52342666780985
SUJETO_0036567,con_0001,1.97581831081127
SUJETO_0040017,con_0001,0.033620176956103
SUJETO_0040081,con_0001,-0.20585861021456
SUJETO_0048205,con_0001,0.408298766528203
SUJETO_0048533,con_0001,0.420026467560329
SUJETO_0050473,con_0001,1.51332304778138
SUJETO_0051018,con_0001,1.5679838484138
SUJETO_0053568,con_0001,2.19193452499746
SUJETO_0058378,con_0001,2.04960780802781
SUJETO_005868,con_0001,1.84951078164868
SUJETO_0065422,con_0001,-0.0916118483216222
SUJETO_0066360,con_0001,1.18729466139301
SUJETO_0068071,con_0001,0.947098312490597
SUJETO_0068784,con_0001,2.034587221417
SUJETO_0071765,con_0001,2.51297728511376
SUJETO_0073050,con_0001,0.915494501348433
SUJETO_0073105,con_0001,-0.103876585852567
SUJETO_0073942,con_0001,1.4751382261757
SUJETO_0074431,con_0001,-0.633368953638682
SUJETO_0BF947EC,con_0001,-0.227001395082192
SUJETO_2C6C72AD,con_0001,0.888233840987995
SUJETO_85DB03A2,con_0001,1.25618436666039
SUJETO_A90BAD1A,con_0001,-0.397616051497104
SUJETO_DABE6ACB,con_0001,2.04198130989462
SUJETO_0000621,con_0002,-0.283660525024482
SUJETO_0005719,con_0002,0.366930130414846
SUJETO_0006562,con_0002,-0.0197231038492476
SUJETO_0012643,con_0002,-0.956543356301339
SUJETO_0014011,con_0002,-0.738983221268811
SUJETO_0014895,con_0002,2.06028819859512
SUJETO_0016883,con_0002,-0.606909123817232
SUJETO_0020285,con_0002,0.230688513714699
SUJETO_0020703,con_0002,0.213398814598397
SUJETO_0020974,con_0002,-0.220796591685555
SUJETO_0025948,con_0002,-1.19761963006927
SUJETO_0026622,con_0002,0.422417596956938
SUJETO_0027033,con_0002,-0.078909870348795
SUJETO_0027510,con_0002,-0.361161925387001
SUJETO_0028207,con_0002,-1.0956239206035
SUJETO_0030383,con_0002,1.12420514116927
SUJETO_0030459,con_0002,0.715571053689573
SUJETO_0031826,con_0002,0.040457267328156
SUJETO_0032413,con_0002,-0.174500371195088
SUJETO_0033050,con_0002,-0.394305065386513
SUJETO_0034539,con_0002,0.466863649662554
SUJETO_0036567,con_0002,0.449543024261853
SUJETO_0040017,con_0002,0.193711601926498
SUJETO_0040081,con_0002,-0.513731130830398
SUJETO_0048205,con_0002,-0.230707503491785
SUJETO_0048533,con_0002,-0.959815904376953
SUJETO_0050473,con_0002,0.0814639278895759
SUJETO_0051018,con_0002,0.631564283935633
SUJETO_0053568,con_0002,0.216806142780233
SUJETO_0058378,con_0002,1.40389377702542
SUJETO_005868,con_0002,0.314050002063329
SUJETO_0065422,con_0002,-0.2440354596195
SUJETO_0066360,con_0002,-0.892161157557635
SUJETO_0068071,con_0002,-0.563478762032161
SUJETO_0068784,con_0002,-0.990824395078954
SUJETO_0071765,con_0002,-0.805811632439736
SUJETO_0073050,con_0002,-0.541725347439448
SUJETO_0073105,con_0002,-0.0939096777332659
SUJETO_0073942,con_0002,0.492275999871279
SUJETO_0074431,con_0002,0.143803563074974
SUJETO_0BF947EC,con_0002,-0.590657362010239
SUJETO_2C6C72AD,con_0002,-3.02858153397475
